Job Title,Company Name,Location,Skills,Date,Link
Frontend Developer (TypeScript/JavaScript – Svelte & React),"Brain Box - New Cairo, Cairo, Egypt 1 month ago","New Cairo, Cairo, Egypt ",Entry Level · 0 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Front end · Svelte · Typescript · JavaScript · CSS · Software Development · Computer Science · Development,5 days ago,https://wuzzuf.net/jobs/p/47QBDCMH26Wz-Frontend-Developer-TypeScriptJavaScript-–-Svelte-React-Brain-Box-Cairo-Egypt
Senior Frontend Developer (Vue.js),"Sulfah - Maadi, Cairo, Egypt 2 months ago","Maadi, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · front-end · Information Technology (IT) · Programming · Software Engineering · Software Development · Computer Science · CSS3 · English,7 days ago,https://wuzzuf.net/jobs/p/4MXwKe7wZXFu-Senior-Frontend-Developer-Vuejs-Sulfah-Cairo-Egypt
Senior Frontend Developer,"Confidential - Cairo, Egypt 2 months ago","Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · React · CSS3 · HTML5 · JavaScript,3 days ago,https://wuzzuf.net/jobs/p/fgfHGOb3Tbh8-Senior-Frontend-Developer-Cairo-Egypt
Senior Frontend Developer,"Axon BI - Cairo, Egypt 2 months ago","Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · APIs · Frontend · Software Development,4 days ago,https://wuzzuf.net/jobs/p/H6MXpkCTiemu-Senior-Frontend-Developer-Axon-BI-Cairo-Egypt
Front End Developer,"Monglish Academy - Alexandria, Egypt 2 days ago","Alexandria, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · front-end · Information Technology (IT) · Software Development,8 days ago,https://wuzzuf.net/jobs/p/fwhdCJ4N57Dl-Front-End-Developer-Monglish-Academy-Alexandria-Egypt
Senior Front End Developer,"Al Ateeq Software - Heliopolis, Cairo, Egypt 8 days ago","Heliopolis, Cairo, Egypt ",Experienced · 5 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Communication skills · Computer Science · front-end · Information Technology (IT) · Software Engineering · UI/UX · Development,4 days ago,https://wuzzuf.net/jobs/p/hdY9ktCrnylN-Senior-Front-End-Developer-Al-Ateeq-Software-Cairo-Egypt
Full Stack Developer,"Babeleye - Maadi, Cairo, Egypt 5 days ago","Maadi, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Engineering · Software Development · Software Engineering · Information Technology (IT) · Software · Laravel · jQuery,1 month ago,https://wuzzuf.net/jobs/p/dYT8T3nYqRLO-Full-Stack-Developer-Babeleye-Cairo-Egypt
Full Stack Developer,"CM Smart Contracting and consultation - Mokattam, Cairo, Egypt 7 days ago","Mokattam, Cairo, Egypt ",Entry Level · 1+ Yrs of Exp · IT/Software Development · Computer Science · Full Stack · Information Technology (IT) · MySQL · Node.js · React.js · Software Development · Software Engineering · Engineering,1 month ago,https://wuzzuf.net/jobs/p/LaXtg5a5oT3b-Full-Stack-Developer-CM-Smart-Contracting-and-consultation-Cairo-Egypt
"Software Engineer "" Website Back End ""","Confidential - Maadi, Cairo, Egypt 9 days ago","Maadi, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information technology · Information Technology (IT) · Software Development · Odoo · Software Engineering · English · back-end,1 month ago,https://wuzzuf.net/jobs/p/f6PFIpeaOAGw-Software-Engineer-Website-Back-End-Cairo-Egypt
Wordpress Developer,"ECC Group - Nasr City, Cairo, Egypt 3 days ago","Nasr City, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · CSS3 · front-end · HTML5 · Git · Information Technology (IT) · JavaScript · jQuery · MySQL,2 months ago,https://wuzzuf.net/jobs/p/cZCPEAO2cvMN-Wordpress-Developer-ECC-Group-Cairo-Egypt
Senior Full Stack PHP Laravel Developer (Remote - Full Time),"HIGHBASE TRADING W.L.L - Cairo, Egypt 4 days ago","Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · PHP · HTML5 · CSS3 · Laravel · MySQL · Vue.js · Tailwind · Front-End Development,2 months ago,https://wuzzuf.net/jobs/p/j8EuteiQISiz-Senior-Full-Stack-PHP-Laravel-Developer-Remote---Full-Time-HIGHBASE-TRADING-W-L-L-Cairo-Egypt
Junior Web Developer,"Saikoro - Cairo, Egypt 8 days ago","Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · API · CSS · HTML · MySQL · PHP · React · Software Development · Web Development,2 months ago,https://wuzzuf.net/jobs/p/TYvnmMMGhLtp-Junior-Web-Developer-Saikoro-Cairo-Egypt
Web Administrator,"Confidential - Maadi, Cairo, Egypt 4 days ago","Maadi, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Computer Science · Development · HTML · Information Technology (IT) · JavaScript · Web Development · CSS · front-end web development · WordPress,9 days ago,https://wuzzuf.net/jobs/p/8ir0WsElY1Yp-Web-Administrator-Cairo-Egypt
Senior Front End Developer,"Boca Pro  - Maadi, Cairo, Egypt 24 days ago","Maadi, Cairo, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · front-end · Front end · Git · Information Technology (IT) · JavaScript · React · CSS · Computer Science,24 days ago,https://wuzzuf.net/jobs/p/OXsdiJJ78Vty-Senior-Front-End-Developer-Boca-Pro-Cairo-Egypt
Laravel Developer,"pavami - Cairo, Egypt 23 days ago","Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · API · backend · Laravel · PHP · MySQL · Computer Science · Engineering · front-end,23 days ago,https://wuzzuf.net/jobs/p/t8s4GzpRoo6X-Laravel-Developer-pavami-Cairo-Egypt
Senior ERP Developer,"Milkys - The Milkman - Sheikh Zayed, Giza, Egypt 23 days ago","Sheikh Zayed, Giza, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Software Development · Programming · ERP-NEXT · Python · R · Front-End Development · Web Development · Agile · APIs,23 days ago,https://wuzzuf.net/jobs/p/eAOYdSfLEH0U-Senior-ERP-Developer-Milkys---The-Milkman-Giza-Egypt
Front End Developer,"Royal Cyber - Riyadh, Saudi Arabia 25 days ago","Riyadh, Saudi Arabia ",Experienced · 2 - 8 Yrs of Exp · IT/Software Development · FrontEnd · CSS · front-end · JavaScript · jQuery · HTML5 · CSS3 · Ui Development,25 days ago,https://wuzzuf.net/jobs/p/AkinHaH7qARj-Front-End-Developer-Royal-Cyber-Riyadh-Saudi-Arabia
Engineering Team Lead (PHP Laravel & WordPress),"Boca Pro  - Maadi, Cairo, Egypt 23 days ago","Maadi, Cairo, Egypt ",Manager · 8 - 14 Yrs of Exp · IT/Software Development · Agile · Communication skills · Computer Science · Development · Engineering · Information Technology (IT) · PHP · Software Engineering · Laravel,23 days ago,https://wuzzuf.net/jobs/p/cxt2CzkJ6uZy-Engineering-Team-Lead-PHP-Laravel-WordPress-Boca-Pro-Cairo-Egypt
UI UX Designer,"Professional Service - Proserv - Maadi, Cairo, Egypt 29 days ago","Maadi, Cairo, Egypt ",Entry Level · 1 - 2 Yrs of Exp · Creative/Design/Art · IT/Software Development · Adobe XD · Computer Science · Design · front-end · HTML · Information Technology (IT) · Sketch · CSS,29 days ago,https://wuzzuf.net/jobs/p/UD8kvSGSzsyJ-UI-UX-Designer-Professional-Service---Proserv-Cairo-Egypt
Senior UI-UX Developer,"Syad Tech - Cairo, Egypt 1 month ago","Cairo, Egypt ",Experienced · 5 - 8 Yrs of Exp · IT/Software Development · CSS · front-end · Computer Science · HTML · UX · UI · JavaScript · React,1 month ago,https://wuzzuf.net/jobs/p/91ZlJkynEIzx-Senior-UI-UX-Developer-Syad-Tech-Cairo-Egypt
Wordpress Developer,"7tec - Cairo, Egypt 1 month ago","Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · CSS3 · front-end · HTML5 · Information Technology (IT) · MySQL · PHP · SEO,1 month ago,https://wuzzuf.net/jobs/p/5i4EC4X7v5Gz-Wordpress-Developer-7tec-Cairo-Egypt
PHP Laravel Full-Stack Developer,"Dash Code - Heliopolis, Cairo, Egypt 1 month ago","Heliopolis, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · PHP Laravel · Stack · Computer Science · Software Development · Full-Stack · blade · Front-End Development · Back-End Development · HTML,1 month ago,https://wuzzuf.net/jobs/p/KqJvwgFk2pMo-PHP-Laravel-Full-Stack-Developer-Dash-Code-Cairo-Egypt
Senior Front End Developer,"SURE International Technology - Nasr City, Cairo, Egypt 1 month ago","Nasr City, Cairo, Egypt ",Experienced · 3 - 7 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Angular · front-end web development · Front-End Development · frontend,1 month ago,https://wuzzuf.net/jobs/p/oSuaJnFFwyLV-Senior-Front-End-Developer-SURE-International-Technology-Cairo-Egypt
Front End Web Developer,"WIZEAS  - Cairo, Egypt 1 month ago","Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · APIs · CSS3 · front-end · HTML5 · JavaScript · React · Computer Science · Git · Information Technology (IT),1 month ago,https://wuzzuf.net/jobs/p/EdKr1XoXDquh-Front-End-Web-Developer-WIZEAS-Cairo-Egypt
Senior Front End (React. JS Developer) - Saudi Arabia - Remote,"Alexandria For Programming - Alexandria, Egypt 1 month ago","Alexandria, Egypt ",Senior Management · 3 - 15 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · APIs · back-end · Computer Science · Information Technology (IT) · front-end · JavaScript · ReactJS · Software,1 month ago,https://wuzzuf.net/jobs/p/KytjQyeSjth2-Senior-Front-End-React-JS-Developer---Saudi-Arabia---Remote-Alexandria-For-Programming-Alexandria-Egypt
Full Stack Developer React/Nodejs,"SAS -Partners-amca  - Zamalek, Cairo, Egypt 1 month ago","Zamalek, Cairo, Egypt ",Experienced · 2 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Engineering - Other · RESTful APIs · Express.js · Node.js · React.js · Next.js · Git · JavaScript,1 month ago,https://wuzzuf.net/jobs/p/qb717s5nWtVf-Full-Stack-Developer-ReactNodejs-SAS--Partners-amca-Cairo-Egypt
Senior Front End Developer ( Angular ),"Confidential - Dokki, Giza, Egypt 1 month ago","Dokki, Giza, Egypt ",Experienced · 6 - 20 Yrs of Exp · IT/Software Development · Agile · Angular · front-end · APIs · Computer Science · Design · Git · HTML5 · Information Technology (IT),1 month ago,https://wuzzuf.net/jobs/p/U9EszJRs2ktm-Senior-Front-End-Developer-Angular-Giza-Egypt
Senior Backend Developer PHP,"Bnaia - Maadi, Cairo, Egypt 1 month ago","Maadi, Cairo, Egypt ",Experienced · 4 - 7 Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · Computer Science · CSS · Git · Software Development · HTML · Information Technology (IT) · Laravel,1 month ago,https://wuzzuf.net/jobs/p/KZdqvZqgYAtI-Senior-Backend-Developer-PHP-Bnaia-Cairo-Egypt
Senior Software Tester / QC Tester - Saudi Arabia - Remotely,"Alexandria For Programming - Alexandria, Egypt 1 month ago","Alexandria, Egypt ",Senior Management · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · RESTful APIs · APIs · Software Engineering · Front-End Development · Software Testing · Quality Assurance · quality · Software,8 days ago,https://wuzzuf.net/jobs/p/5yG8c34HUK6t-Senior-Software-Tester-QC-Tester---Saudi-Arabia---Remotely-Alexandria-For-Programming-Alexandria-Egypt
Front End Developer,"qTech.  - New Nozha, Cairo, Egypt 1 month ago","New Nozha, Cairo, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Computer Science · Design · CSS3 · Development · front-end · Frontend · HTML5 · JavaScript · Software Development,6 days ago,https://wuzzuf.net/jobs/p/rffuZ3BhYVxD-Front-End-Developer-qTech-Cairo-Egypt
Front End Developer,"Confidential - Giza, Egypt 2 months ago","Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Agile · back-end · Bootstrap · Computer Science · Design · front-end · HTML,1 month ago,https://wuzzuf.net/jobs/p/ODmp72c7uJ4d-Front-End-Developer-Giza-Egypt
Software Developer,"Confidential - Cairo, Egypt 1 month ago","Cairo, Egypt ",Entry Level · IT/Software Development · Medical/Healthcare · Programming · Software Development · back-end · Computer Science · Development · front-end,1 month ago,https://wuzzuf.net/jobs/p/z0zgRSX3rlwS-Software-Developer-Cairo-Egypt
Senior PHP Developer (Laravel),"Our Education - Nasr City, Cairo, Egypt 2 months ago","Nasr City, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · PHP · Computer Science · Laravel · HTML5 · CSS3 · MVC · Programming · javaScript,2 months ago,https://wuzzuf.net/jobs/p/Jf8sTQkGreaR-Senior-PHP-Developer-Laravel-Our-Education-Cairo-Egypt
Senior Front end Developer-React (Cairo& upper Egypt),"Informatique Education - Assiut, Egypt 2 months ago","Assiut, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Software Development · React · React.js · React Native · CSS3 · HTML5,1 month ago,https://wuzzuf.net/jobs/p/UvQjBXJIkdry-Senior-Front-end-Developer-React-Cairo-upper-Egypt-Informatique-Education-Assiut-Egypt
Senior Full Stack Developer,"52nd Solution  - Cairo, Egypt 2 months ago","Cairo, Egypt ",Experienced · 5 - 20 Yrs of Exp · IT/Software Development · back-end · Angular · Computer Science · front-end · Web · Software · Software Development · c# · dotnet,2 months ago,https://wuzzuf.net/jobs/p/wBVeYQ4nJmAV-Senior-Full-Stack-Developer-52nd-Solution-Cairo-Egypt
Front End Developer,"nichepharma - Sheikh Zayed, Giza, Egypt 2 months ago","Sheikh Zayed, Giza, Egypt ",Student · 0 - 1 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Bootstrap · Angular · Computer Science · CSS3 · front-end · Git · HTML5 · JavaScript,2 months ago,https://wuzzuf.net/internship/IeWwdcmVf9Yn-Front-End-Developer-nichepharma-Giza-Egypt
Front End Developer,"Hamber hub - New Cairo, Cairo, Egypt 2 months ago","New Cairo, Cairo, Egypt ",Experienced · 3 - 3 Yrs of Exp · IT/Software Development · JavaScript · CSS · front-end · SEO · Web Development · Design · Computer Science · Development · Information Technology (IT),2 months ago,https://wuzzuf.net/jobs/p/RbKXWaXc9Rfu-Front-End-Developer-Hamber-hub-Cairo-Egypt
Junior Full Stack Software Engineer TypeScript,"Bill My Plate - Cairo, Egypt 2 months ago","Cairo, Egypt ",Entry Level · 0 - 2 Yrs of Exp · R&D/Science · IT/Software Development · Engineering - Telecom/Technology · backend · front-end · Software Engineering · NodeJS · Typescript,2 months ago,https://wuzzuf.net/jobs/p/rHwBfvbrHciW-Junior-Full-Stack-Software-Engineer-TypeScript-Bill-My-Plate-Cairo-Egypt
Front End Developer,"DevSolutions Group - Cairo, Egypt 2 months ago","Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Vue.js · JavaScript · AngularJS · jQuery · front-end · CSS · Information Technology (IT),2 months ago,https://wuzzuf.net/jobs/p/EIifikvCgJU6-Front-End-Developer-DevSolutions-Group-Cairo-Egypt
Full Stack Team Lead,"Raise Right Company - Maadi, Cairo, Egypt 2 months ago","Maadi, Cairo, Egypt ",Manager · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · backend · DevOps · Frontend · Information Technology (IT) · Software Development · Mobile Development,2 months ago,https://wuzzuf.net/jobs/p/eEYV7c5oQqMa-Full-Stack-Team-Lead-Raise-Right-Company-Cairo-Egypt
Full Stack Developer (.NET & Angular),"Amer Vision Group - Sheraton, Cairo, Egypt 2 months ago","Sheraton, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · Computer Science · CSS · Development · front-end · Full Stack · Information Technology (IT) · Software Development,2 months ago,https://wuzzuf.net/jobs/p/0YpApPR6jRaG-Full-Stack-Developer-NET-Angular-Amer-Vision-Group-Cairo-Egypt
Full-stack Software Engineer,"Nacita - Cairo, Egypt 8 days ago","Cairo, Egypt ",Experienced · 0 - 3 Yrs of Exp · IT/Software Development · full-stack engineer · software engineeer · angular · Agile · Java · nodejs · Kubernetes · Google Cloud,2 months ago,https://wuzzuf.net/jobs/p/OKZ5gPlYiE7G-Full-stack-Software-Engineer-Nacita-Cairo-Egypt
AI Solutions Architect,"Get AI Driven - Cairo, Egypt 6 days ago","Cairo, Egypt ",Experienced · 5 - 15 Yrs of Exp · IT/Software Development · AI · Architecture · Computer Engineering · APIs · Computer Science · DevOps · Engineering · English · JavaScript,2 months ago,https://wuzzuf.net/jobs/p/NvNlX163ebd3-AI-Solutions-Architect-Get-AI-Driven-Cairo-Egypt
Sr. UI UX Designer,"Creative Motion - Maadi, Cairo, Egypt 10 days ago","Maadi, Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · Creative/Design/Art · Adobe illustrator · adobe · UI/UX · illustrator · photoshop · Design · Computer Science · figma · UI,2 days ago,https://wuzzuf.net/jobs/p/Aij8mVQyxI3V-Sr-UI-UX-Designer-Creative-Motion-Cairo-Egypt
Frappe & ERPNext Developer,"Confidential - Riyadh, Saudi Arabia 13 days ago","Riyadh, Saudi Arabia ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · jQuery · JavaScript · HTML · erpnext · CSS · Computer Science,3 days ago,https://wuzzuf.net/jobs/p/sW0qJDzw2Zyb-Frappe-ERPNext-Developer-Riyadh-Saudi-Arabia
Technical Support Engineer,"Advanced Solutions - Nasr City, Cairo, Egypt 2 days ago","Nasr City, Cairo, Egypt ",Experienced · 5 - 6 Yrs of Exp · IT/Software Development · Microsoft SQL Server · SQL · Oracle · Configure · Install · Troubleshoot · IIS · Integration · Application Support,5 days ago,https://wuzzuf.net/jobs/p/ADU0LoGKtF7w-Technical-Support-Engineer-Advanced-Solutions-Cairo-Egypt
Full Stack Developer,"CodeCooks - New Cairo, Cairo, Egypt 3 days ago","New Cairo, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Full Stack Developer · Information Technology (IT) · Computer Science · Software Development · Full Stack,5 days ago,https://wuzzuf.net/jobs/p/0zDLfym6XA6s-Full-Stack-Developer-CodeCooks-Cairo-Egypt
Senior Developer/Manager (Full-Stack + ML Ops),"My Business Care Team - Cairo, Egypt 9 days ago","Cairo, Egypt ",Manager · 5 - 15 Yrs of Exp · IT/Software Development · AWS · Information Technology (IT) · Software · Software Development · DevOps · Cloud · Lambda · EC2 · DynamoDB,6 days ago,https://wuzzuf.net/jobs/p/SY4v8o8V7qxZ-Senior-DeveloperManager-Full-Stack-ML-Ops-My-Business-Care-Team-Cairo-Egypt
Full Stack Team Lead,"Confidential - Dubai, United Arab Emirates 8 days ago","Dubai, United Arab Emirates ",Manager · 8+ Yrs of Exp · IT/Software Development · Azure · back-end · Development · Information Technology (IT) · Cloud · HTML · Computer Science · CSS · Java,12 hours ago,https://wuzzuf.net/jobs/p/HevJj8FzK8LH-Full-Stack-Team-Lead-Dubai-United-Arab-Emirates
Senior Python Developer,"Softxpert Incorporation  - Bolkly, Alexandria, Egypt 8 days ago","Bolkly, Alexandria, Egypt ",Experienced · 3+ Yrs of Exp · Business Development · IT/Software Development · Engineering - Telecom/Technology · APIs · Angular · Software Development · Software Engineering · Web Development · MySQL · Python,5 days ago,https://wuzzuf.net/jobs/p/kx4QTsoTSbKX-Senior-Python-Developer-Softxpert-Incorporation-Alexandria-Egypt
.NET Full Stack Developer,"Biobusiness - Hadayek Alahram, Giza, Egypt 11 days ago","Hadayek Alahram, Giza, Egypt ",Experienced · 1 - 3 Yrs of Exp · IT/Software Development · .Net · Angular · Full Stack,10 days ago,https://wuzzuf.net/jobs/p/e1TG9fYufFUg-NET-Full-Stack-Developer-Biobusiness-Giza-Egypt
Backend Engineer,"Devency   - Nozha, Cairo, Egypt 11 days ago","Nozha, Cairo, Egypt ",Experienced · 5 - 10 Yrs of Exp · IT/Software Development · Engineering - Other · Software Development · Engineering · Typescript · Node.js · NoSQL · SQL · Software Engineering · backend,13 days ago,https://wuzzuf.net/jobs/p/2jFOzvfpTK3u-Backend-Engineer-Devency-Cairo-Egypt
